  PID  PPID STAT     ELAPSED    RSS COMMAND
    1     0 Ss   05-23:11:42  23520 /sbin/launchd
   98     1 Ss   05-23:11:37  60368 /usr/libexec/logd
  100     1 Ss   05-23:11:37  17024 /usr/libexec/UserEventAgent (System)
  102     1 Ss   05-23:11:37   9824 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  103     1 Ss   05-23:11:37  12816 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  106     1 Ss   05-23:11:37  14080 /usr/sbin/systemstats --daemon
  110     1 Ss   05-23:11:37  11296 /usr/libexec/configd
  112     1 Ss   05-23:11:37   9200 /System/Library/CoreServices/powerd.bundle/powerd
  113     1 Ss   05-23:11:37   2336 /usr/libexec/IOMFB_bics_daemon
  117     1 Ss   05-23:11:37   6048 /usr/libexec/remoted
  121     1 Ss   05-23:11:37   2208 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  123     1 Ss   05-23:11:37   3200 /usr/libexec/watchdogd
  127     1 Ss   05-23:11:37  31200 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  129     1 Ss   05-23:11:37   8080 /usr/libexec/kernelmanagerd
  130     1 Ss   05-23:11:37   6400 /usr/libexec/diskarbitrationd
  134     1 Ss   05-23:11:37   2288 /usr/sbin/syslogd
  136     1 Ss   05-23:11:37   5184 /usr/libexec/thermalmonitord
  137     1 Ss   05-23:11:37  12448 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  138     1 Ss   05-23:11:37   5168 /usr/libexec/xprotectd
  139     1 Ss   05-23:11:37  19936 /usr/libexec/opendirectoryd
  140     1 Ss   05-23:11:37  18896 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  141     1 Ss   05-23:11:37  12352 /System/Library/CoreServices/launchservicesd
  142     1 Ss   05-23:11:37   6944 /usr/libexec/timed
  143     1 Ss   05-23:11:37   3360 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  144     1 Ss   05-23:11:37   9136 /usr/sbin/securityd -i
  146     1 Ss   05-23:11:37  26560 /usr/libexec/locationd
  147     1 Ss   05-23:11:37  10592 /usr/libexec/nesessionmanager
  149     1 Ss   05-23:11:37   2720 autofsd
  150     1 Ss   05-23:11:37  22864 /usr/libexec/dasd
  151     1 Ss   05-23:11:37   8448 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  152     1 Ss   05-23:11:37   3328 /usr/libexec/corerepaird
  154     1 Ss   05-23:11:37   3840 /usr/sbin/distnoted daemon
  158     1 Ss   05-23:11:37   4928 /System/Library/CoreServices/logind
  159     1 Ss   05-23:11:37   7072 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  160     1 Ss   05-23:11:37   2048 /usr/sbin/KernelEventAgent
  164     1 Ss   05-23:11:37  29536 /usr/sbin/bluetoothd
  165     1 Ss   05-23:11:37   4544 /usr/sbin/notifyd
  167     1 Ss   05-23:11:37  11472 /usr/libexec/corebrightnessd --launchd
  168     1 Ss   05-23:11:37   9280 /usr/libexec/AirPlayXPCHelper
  169     1 Ss   05-23:11:37  15872 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  171     1 Ss   05-23:11:37 115632 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  172     1 Ss   05-23:11:37  18528 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  173     1 Ss   05-23:11:37   6560 /usr/sbin/cfprefsd daemon
  174     1 Ss   05-23:11:37  49696 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  177     1 Ss   05-23:11:37  23456 /usr/libexec/runningboardd
  178     1 Ss   05-23:11:37  13920 /System/Library/CoreServices/coreservicesd
  179     1 Ss   05-23:11:37  16208 /usr/libexec/trustd
  180     1 Ss   05-23:11:37  15824 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  182     1 Ss   05-23:11:37  18272 /usr/libexec/lsd runAsRoot
  185     1 Ss   05-23:11:37  37920 /usr/sbin/coreaudiod
  186     1 Ss   05-23:11:37   2880 /usr/libexec/PowerUIAgent
  192     1 Ss   05-23:11:36   6816 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  194     1 Ss   05-23:11:36  18960 /usr/sbin/mDNSResponder
  195     1 Ss   05-23:11:36  10368 /usr/libexec/eligibilityd
  199     1 S    05-23:11:36   2544 /usr/sbin/distnoted agent
  201     1 Ss   05-23:11:36  26816 /usr/libexec/airportd
  204     1 Ss   05-23:11:36  12752 /usr/libexec/nehelper
  205     1 Ss   05-23:11:36  16128 /usr/libexec/symptomsd
  208     1 Ss   05-23:11:36   3120 /usr/sbin/mDNSResponderHelper
  212     1 Ss   05-23:11:36  15808 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  215     1 S    05-23:11:36   2688 /usr/sbin/distnoted agent
  216     1 Ss   05-23:11:36  25792 /usr/libexec/syspolicyd
  222     1 S    05-23:11:36   2544 /usr/sbin/distnoted agent
  234     1 Ss   05-23:11:36  12640 /usr/libexec/nsurlsessiond --privileged
  241     1 Ss   05-23:11:36   3120 /usr/libexec/ApplicationFirewall/socketfilterfw
  243     1 Ss   05-23:11:36   6704 Core Audio Driver (ParrotAudioPlugin.driver)
  248     1 Ss   05-23:11:36   3472 /usr/libexec/audioclocksyncd
  249     1 Ss   05-23:11:36  13536 /usr/libexec/audiomxd
  253     1 Ss   05-23:11:36   3808 /usr/libexec/apfsd
  254     1 Ss   05-23:11:36   8064 /usr/sbin/WirelessRadioManagerd
  260     1 Ss   05-23:11:36   8368 /System/Library/CoreServices/TimeMachine/backupd
  262     1 S    05-23:11:36   2560 /usr/sbin/distnoted agent
  266     1 Ss   05-23:11:36   7232 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  267     1 Ss   05-23:11:36   6800 /System/Library/CoreServices/appleeventsd --server
  279     1 Ss   05-23:11:35   5472 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  282     1 Ss   05-23:11:35  30144 /opt/homebrew/opt/tailscale/bin/tailscaled
  283     1 Ss   05-23:11:35   4896 /opt/homebrew/opt/newrelic-infra-agent/bin/newrelic-infra-service -config /opt/homebrew/etc/newrelic-infra/newrelic-infra.yml
  284     1 Ss   05-23:11:35   7136 /usr/libexec/cameracaptured
  287     1 Ss   05-23:11:35   8240 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  291     1 Ss   05-23:11:35   5024 /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  294     1 Ss   05-23:11:35   1776 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000a36 com.apple.DriverKit-IOUserDockChannelSerial
  299     1 Ss   05-23:11:35   3200 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000a39 com.apple.AppleUserHIDDrivers
  301     1 Ss   05-23:11:35  36064 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000a55 com.apple.DriverKit-AppleBCMWLAN
  308     1 S    05-23:11:35   2544 /usr/sbin/distnoted agent
  315     1 S    05-23:11:35   2560 /usr/sbin/distnoted agent
  321   283 S    05-23:11:35  41792 /opt/homebrew/opt/newrelic-infra-agent/bin/newrelic-infra -config /opt/homebrew/etc/newrelic-infra/newrelic-infra.yml
