  PID  PPID STAT     ELAPSED    RSS COMMAND
    1     0 Ss   05-23:11:22  23536 /sbin/launchd
   98     1 Ss   05-23:11:17  60416 /usr/libexec/logd
  100     1 Ss   05-23:11:17  17024 /usr/libexec/UserEventAgent (System)
  102     1 Ss   05-23:11:17   9824 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  103     1 Ss   05-23:11:17  12816 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  106     1 Ss   05-23:11:17  14096 /usr/sbin/systemstats --daemon
  110     1 Ss   05-23:11:17  11344 /usr/libexec/configd
  112     1 Ss   05-23:11:17   9152 /System/Library/CoreServices/powerd.bundle/powerd
  113     1 Ss   05-23:11:17   2336 /usr/libexec/IOMFB_bics_daemon
  117     1 Ss   05-23:11:17   6048 /usr/libexec/remoted
  121     1 Ss   05-23:11:17   2208 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  123     1 Ss   05-23:11:17   3200 /usr/libexec/watchdogd
  127     1 Ss   05-23:11:17  31152 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  129     1 Ss   05-23:11:17   8080 /usr/libexec/kernelmanagerd
  130     1 Ss   05-23:11:17   6400 /usr/libexec/diskarbitrationd
  134     1 Ss   05-23:11:17   2272 /usr/sbin/syslogd
  136     1 Ss   05-23:11:17   5184 /usr/libexec/thermalmonitord
  137     1 Ss   05-23:11:17  12496 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  138     1 Ss   05-23:11:17   5168 /usr/libexec/xprotectd
  139     1 Ss   05-23:11:17  19952 /usr/libexec/opendirectoryd
  140     1 Ss   05-23:11:17  18848 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  141     1 Ss   05-23:11:17  12320 /System/Library/CoreServices/launchservicesd
  142     1 Ss   05-23:11:17   6944 /usr/libexec/timed
  143     1 Ss   05-23:11:17   3360 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  144     1 Ss   05-23:11:17   9152 /usr/sbin/securityd -i
